"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"22uF";;;
2;"C2, C6, C7, C8";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"1uF";;;
3;"C3, C4, C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"10pF";;;
4;"J1";"CON_527460771_MOL";1;"RGB_OUT";;;
5;"J8";"U.FL_Hirose_U.FL-R-SMT-1_Vertical";1;"G_O";;;
6;"J9";"U.FL_Hirose_U.FL-R-SMT-1_Vertical";1;"B_O";;;
7;"J10";"U.FL_Hirose_U.FL-R-SMT-1_Vertical";1;"R_O";;;
8;"R1, R2, R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"7.5k";;;
9;"R4, R5, R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"430R";;;
10;"R7, R8, R9";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"75R";;;
11;"R10, R11, R12";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"240R";;;
12;"R13, R14, R15";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"110R";;;
13;"U1";"TSSOP-14_4.4x5mm_P0.65mm";1;"THS7376";;;
